,model_name,model_size,token_id,final_text,strategy,cpu_time,cuda_time,cpu_memory_usage,cuda_memory_usage,self_cpu_memory_usage,self_cuda_memory_usage
0,BlinkDL/rwkv-4-pile-169m,0,0,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pac",cpu fp32,968008.0,0.0,3334544,0,-3422184,0
1,BlinkDL/rwkv-4-pile-169m,0,1,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified",cpu fp32,144518.0,0.0,-2949124,0,-3411632,0
2,BlinkDL/rwkv-4-pile-169m,0,2,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified to",cpu fp32,54443.0,0.0,-4,0,-462516,0
3,BlinkDL/rwkv-4-pile-169m,0,3,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified to pass",cpu fp32,63803.0,0.0,-4,0,-462512,0
4,BlinkDL/rwkv-4-pile-169m,0,4,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified to pass boring",cpu fp32,33849.0,0.0,-4,0,-462512,0
5,BlinkDL/rwkv-4-pile-169m,0,5,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified to pass boring exams",cpu fp32,28266.0,0.0,-4,0,-465588,0
6,BlinkDL/rwkv-4-pile-169m,0,6,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified to pass boring exams,",cpu fp32,28720.0,0.0,-4,0,-462512,0
7,BlinkDL/rwkv-4-pile-169m,0,7,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified to pass boring exams, the",cpu fp32,30238.0,0.0,-4,0,-462232,0
8,BlinkDL/rwkv-4-pile-169m,0,8,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified to pass boring exams, the scientists",cpu fp32,34992.0,0.0,-4,0,-462236,0
9,BlinkDL/rwkv-4-pile-169m,0,9,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified to pass boring exams, the scientists isolated",cpu fp32,32158.0,0.0,-4,0,-462512,0
10,BlinkDL/rwkv-4-pile-169m,0,10,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified to pass boring exams, the scientists isolated the",cpu fp32,27373.0,0.0,-4,0,-465304,0
11,BlinkDL/rwkv-4-pile-169m,0,11,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified to pass boring exams, the scientists isolated the unknown",cpu fp32,35440.0,0.0,-4,0,-462512,0
12,BlinkDL/rwkv-4-pile-169m,0,12,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified to pass boring exams, the scientists isolated the unknown dragons",cpu fp32,26957.0,0.0,-4,0,-462232,0
13,BlinkDL/rwkv-4-pile-169m,0,13,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified to pass boring exams, the scientists isolated the unknown dragons,",cpu fp32,59632.0,0.0,-4,0,-462516,0
14,BlinkDL/rwkv-4-pile-169m,0,14,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified to pass boring exams, the scientists isolated the unknown dragons, accurately",cpu fp32,29626.0,0.0,-4,0,-462512,0
15,BlinkDL/rwkv-4-pile-169m,0,15,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Pacified to pass boring exams, the scientists isolated the unknown dragons, accurately tracked",cpu fp32,36889.0,0.0,-4,0,-462512,0
