,Unnamed: 0,model_name,model_size,token_id,final_text,strategy,cpu_time,cuda_time,cpu_memory_usage,cuda_memory_usage,self_cpu_memory_usage,self_cuda_memory_usage
0,0.0,EleutherAI/pythia-160m,162322944,0,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.
",cpu,147387.0,0.0,35235400,0,-16006068,0
1,1.0,EleutherAI/pythia-160m,162322944,1,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

",cpu,113602.0,0.0,883592,0,-51352532,0
2,2.0,EleutherAI/pythia-160m,162322944,2,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“",cpu,132407.0,0.0,884744,0,-52731056,0
3,3.0,EleutherAI/pythia-160m,162322944,3,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Ch",cpu,53354.0,0.0,885896,0,-53806016,0
4,4.0,EleutherAI/pythia-160m,162322944,4,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi",cpu,52082.0,0.0,887048,0,-55346208,0
5,5.0,EleutherAI/pythia-160m,162322944,5,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’",cpu,52066.0,0.0,888200,0,-56400324,0
6,6.0,EleutherAI/pythia-160m,162322944,6,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’p",cpu,52815.0,0.0,889352,0,-57565356,0
7,7.0,EleutherAI/pythia-160m,162322944,7,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah",cpu,53155.0,0.0,890504,0,-58962168,0
8,8.0,EleutherAI/pythia-160m,162322944,8,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah,",cpu,54518.0,0.0,891656,0,-60330560,0
9,9.0,EleutherAI/pythia-160m,162322944,9,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they",cpu,57102.0,0.0,892808,0,-61822632,0
10,10.0,EleutherAI/pythia-160m,162322944,10,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew",cpu,59719.0,0.0,893960,0,-62777468,0
11,11.0,EleutherAI/pythia-160m,162322944,11,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about",cpu,56950.0,0.0,895112,0,-64122420,0
12,12.0,EleutherAI/pythia-160m,162322944,12,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the",cpu,166502.0,0.0,896264,0,-65555320,0
13,13.0,EleutherAI/pythia-160m,162322944,13,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river",cpu,170055.0,0.0,897416,0,-66831560,0
14,14.0,EleutherAI/pythia-160m,162322944,14,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in",cpu,178225.0,0.0,898568,0,-68068652,0
15,15.0,EleutherAI/pythia-160m,162322944,15,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast",cpu,178394.0,0.0,899720,0,-69262196,0
16,16.0,EleutherAI/pythia-160m,162322944,16,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia",cpu,165235.0,0.0,900872,0,-71423376,0
17,17.0,EleutherAI/pythia-160m,162322944,17,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia,",cpu,66094.0,0.0,902024,0,-72324056,0
18,18.0,EleutherAI/pythia-160m,162322944,18,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about",cpu,65267.0,0.0,903176,0,-73168232,0
19,19.0,EleutherAI/pythia-160m,162322944,19,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the",cpu,63102.0,0.0,904328,0,-75337852,0
20,20.0,EleutherAI/pythia-160m,162322944,20,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery",cpu,61552.0,0.0,905480,0,-76507644,0
21,21.0,EleutherAI/pythia-160m,162322944,21,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in",cpu,60934.0,0.0,906632,0,-77676348,0
22,22.0,EleutherAI/pythia-160m,162322944,22,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nep",cpu,61896.0,0.0,907784,0,-79182228,0
23,23.0,EleutherAI/pythia-160m,162322944,23,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis",cpu,63991.0,0.0,908936,0,-80354304,0
24,24.0,EleutherAI/pythia-160m,162322944,24,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis.",cpu,67481.0,0.0,910088,0,-82777012,0
25,25.0,EleutherAI/pythia-160m,162322944,25,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis. God",cpu,66726.0,0.0,911240,0,-83456856,0
26,26.0,EleutherAI/pythia-160m,162322944,26,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis. God knows",cpu,71202.0,0.0,912392,0,-84549380,0
27,27.0,EleutherAI/pythia-160m,162322944,27,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis. God knows all",cpu,66991.0,0.0,913544,0,-85909832,0
28,28.0,EleutherAI/pythia-160m,162322944,28,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis. God knows all the",cpu,65596.0,0.0,914696,0,-87024184,0
29,29.0,EleutherAI/pythia-160m,162322944,29,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis. God knows all the Himal",cpu,69144.0,0.0,915848,0,-89066972,0
30,30.0,EleutherAI/pythia-160m,162322944,30,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis. God knows all the Himalayan",cpu,67296.0,0.0,917000,0,-90470496,0
31,31.0,EleutherAI/pythia-160m,162322944,31,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis. God knows all the Himalayan p",cpu,72798.0,0.0,918152,0,-91518076,0
32,32.0,EleutherAI/pythia-160m,162322944,32,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis. God knows all the Himalayan pang",cpu,68308.0,0.0,919304,0,-93184552,0
33,33.0,EleutherAI/pythia-160m,162322944,33,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis. God knows all the Himalayan pangas",cpu,68315.0,0.0,920456,0,-94024464,0
34,34.0,EleutherAI/pythia-160m,162322944,34,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis. God knows all the Himalayan pangas,",cpu,69833.0,0.0,921608,0,-95263848,0
35,35.0,EleutherAI/pythia-160m,162322944,35,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis. God knows all the Himalayan pangas, many",cpu,69254.0,0.0,922760,0,-97481756,0
36,36.0,EleutherAI/pythia-160m,162322944,36,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis. God knows all the Himalayan pangas, many very",cpu,70526.0,0.0,923912,0,-98618556,0
37,37.0,EleutherAI/pythia-160m,162322944,37,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis. God knows all the Himalayan pangas, many very remote",cpu,72065.0,0.0,925064,0,-99760716,0
38,38.0,EleutherAI/pythia-160m,162322944,38,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese.

“Chizi’pah, they knew about the river in Southeast Asia, about the scenery in Nepalis. God knows all the Himalayan pangas, many very remote tribes",cpu,71731.0,0.0,926216,0,-101674316,0
