model_name,model_size,token_id,final_text,strategy,cpu_time,cuda_time,cpu_memory_usage,cuda_memory_usage,self_cpu_memory_usage,self_cuda_memory_usage
EleutherAI/pythia-160m,162322944,0,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like",cpu,188620.0,0.0,35235396,0,-16019496,0
EleutherAI/pythia-160m,162322944,1,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the",cpu,133660.0,0.0,883588,0,-51385416,0
EleutherAI/pythia-160m,162322944,2,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gr",cpu,136981.0,0.0,884740,0,-52532868,0
EleutherAI/pythia-160m,162322944,3,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Grue",cpu,133959.0,0.0,885892,0,-53705272,0
EleutherAI/pythia-160m,162322944,4,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruev",cpu,146662.0,0.0,887044,0,-55214748,0
EleutherAI/pythia-160m,162322944,5,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruevangel",cpu,185232.0,0.0,888196,0,-56814680,0
EleutherAI/pythia-160m,162322944,6,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruevangelians",cpu,138737.0,0.0,889348,0,-57674028,0
EleutherAI/pythia-160m,162322944,7,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruevangelians it",cpu,136438.0,0.0,890500,0,-59257376,0
EleutherAI/pythia-160m,162322944,8,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruevangelians it has",cpu,165210.0,0.0,891652,0,-60255992,0
EleutherAI/pythia-160m,162322944,9,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruevangelians it has a",cpu,142384.0,0.0,892804,0,-61538272,0
EleutherAI/pythia-160m,162322944,10,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruevangelians it has a deep",cpu,164478.0,0.0,893956,0,-63137620,0
EleutherAI/pythia-160m,162322944,11,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruevangelians it has a deep,",cpu,127923.0,0.0,895108,0,-64322400,0
EleutherAI/pythia-160m,162322944,12,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruevangelians it has a deep, opaque",cpu,191699.0,0.0,896260,0,-65637880,0
EleutherAI/pythia-160m,162322944,13,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruevangelians it has a deep, opaque eye",cpu,153173.0,0.0,897412,0,-66790556,0
EleutherAI/pythia-160m,162322944,14,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruevangelians it has a deep, opaque eye.",cpu,193884.0,0.0,898564,0,-68449980,0
EleutherAI/pythia-160m,162322944,15,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruevangelians it has a deep, opaque eye. It",cpu,187608.0,0.0,899716,0,-69478428,0
EleutherAI/pythia-160m,162322944,16,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruevangelians it has a deep, opaque eye. It often",cpu,169783.0,0.0,900868,0,-71054304,0
EleutherAI/pythia-160m,162322944,17,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruevangelians it has a deep, opaque eye. It often covers",cpu,155411.0,0.0,902020,0,-72458460,0
EleutherAI/pythia-160m,162322944,18,"
In a shocking finding, scientist discovered a herd of dragons living in a remote, previously unexplored valley, in Tibet. Even more surprising to the researchers was the fact that the dragons spoke perfect Chinese. Like the Gruevangelians it has a deep, opaque eye. It often covers him",cpu,172541.0,0.0,903172,0,-73657660,0
